"250180460","ADAMOWICE","95414"
"254230010","ALEKSANDR”WKA","91908"
"250190430","ALWERNIA","95506"
"250210030","ANNOPOL","95751"
"249199978","ANTA£”WKA"," 6522"
"253229988","AUGUST”W","92838"
"252189994","BABIAK","93420"
"253210080","BABI TA","92730"
"252159995","BABIMOST"," 3150"
"252150270","BABIMOST"," 3152"
"252150270","BABIMOST","93152"
"250170410","BABOR”W","95418"
"252179996","BACHORZEW","93301"
"253220260","BACIUTY","92803"
"254220080","BAKA£ARZEWO","91804"
"250209983","BALICE","95632"
"249220170","BALIGR”D-MCHAWA"," 6808"
"253199991","BA£OSZYCE","92532"
"254220060","BANIE MAZURSKIE","91813"
"249190620","BA—SKA WYØNA","96510"
"251189997","BARAN”W","94412"
"250210150","BARAN”W SANDOMIERSKI","95733"
"250210070","BARAN”WEK","95754"
"254210010","BARCIANY","91708"
"252179999","BARCIN","93355"
"250160410","BARDO åL•SKIE","95223"
"253159992","BARLINEK","92101"
"253229994","BARSZCZOWA G”RA","92843"
"250200010","BARTK”W","95653"
"249210170","BARTNE","96717"
"251210090","BARTODZIEJE","94723"
"254200040","BARTOSZYCE","91613"
"252190080","BARUCHOWO","93524"
"253160050","BARWICE","92226"
"249210240","BARWINEK"," 6708"
"251210270","BASIN”W","94744"
"250229988","BATORZ","95844"
"253190290","B•GART","92555"
"254180120","B•KOWO","91419"
"250180010","B•K”W","95484"
"250209976","BELINA","95654"
"251190110","BE£CHAT”W","94555"
"251199995","BE£CHAT”W"," 4505"
"250239995","BE£ØEC","95908"
"249209976","BEREST","96619"
"249219988","BESKO","96720"
"251230120","BEZEK"," 4902"
"254219997","BEZ£AWKI-WILKOWO","91702"
"253219994","B SIA"," 2751"
"252169989","BIA£A NAD NOTECI•","93250"
"251189992","BIA£A NAD WART•","94413"
"253229990","BIA£A PISKA","92825"
"252239995","BIA£A PODLASKA"," 3903"
"251209995","BIA£A RAWSKA","94636"
"252140180","BIA£CZYK","93053"
"249200450","BIA£KA TATRZA—SKA","96610"
"251200080","BIA£OBRZEGI","94630"
"253220040","BIA£OBRZEGI","92832"
"254159998","BIA£OGARD"," 1101"
"253179993","BIA£OåLIWIE","92304"
"252230120","BIA£OWIEØA"," 3902"
"353230295","BIA£YSTOK","  295"
"253220070","BIEBRZA-PIE—CZYK”WEK"," 2802"
"249210070","BIECZ-GRUDNA"," 6702"
"250170350","BIELICE","95309"
"252149998","BIELINEK","93024"
"250200060","BIELINY KAPITULNE","95646"
"252239998","BIELSK PODLASKI"," 3901"
"349190600","BIELSKO-BIA£A","  600"
"249199993","BIE—K”WKA","96557"
"251150320","BIERNA","94107"
"250190380","BIERU— STARY"," 5508"
"251170270","BIERUT”W","94306"
"250170020","BIESTRZYKOWICE","95357"
"252199990","BIEØU—","93541"
"250229990","BI£GORAJ"," 5803"
"253140080","BINOWO","92015"
"249220060","BIRCZA"," 6803"
"253190130","BISKUPIEC","92522"
"253200030","BISKUPIEC","92652"
"253209997","BISKUPIEC"," 2601"
"252159994","BLEDZEW","93127"
"251160010","B£OTNICA","93201"
"254169997","BOBI CINO","91201"
"251150010","BOBROWICE","94164"
"252179998","BOBROWNIKI"," 3301"
"252170050","BOBROWNIKI","93367"
"251190180","BOBRY","94502"
"249209999","BOCHNIA"," 6601"
"252140120","BOCZ”W","93006"
"252230140","BO∆KI","93910"
"250200040","BODZENTYN"," 5601"
"250140030","BOGATYNIA"," 5001"
"250149999","BOGATYNIA","95050"
"249190170","BOGDAN”WKA","96555"
"251210050","BOGLEWICE","94732"
"250219978","BOGORIA","95738"
"252199994","BOGUCIN"," 3502"
"250219999","BOGUS£AWICE"," 5702"
"250210060","BOGUS£AWICE","95764"
"250160190","BOGUSZ”W-GORCE","95252"
"251169992","BOJANOWO","94240"
"253200110","BOLEJNY","92623"
"250199992","BOLES£AW","95522"
"250160050","BOLES£AWICE","95264"
"250160610","BOLES£AW”W"," 5252"
"252140070","BOLESZKOWICE","93014"
"252169988","BOLEWICKO","93257"
"250160030","BOLK”W","95267"
"252230030","BONDARY"," 3951"
"250190150","BONOWICE","95580"
"252200080","BORKOWO","93661"
"254200050","BORNITY","91651"
"251150040","BOROWIEC","94156"
"253170010","BOROWY M£YN","92360"
"250160070","BOR”W","95348"
"250189987","BORUCIN","95401"
"254170110","BORUCINO","91353"
"254170210","BORUCINO"," 1351"
"250200230","BORUSOWA"," 5606"
"250189981","BORYNIA","95403"
"250200290","BORZ CIN","95605"
"253180010","BOØEPOLE SZLACHECKIE","92447"
"250170430","BRANICE","95303"
